127.0.0.1 - - [22/Apr/2021:01:40:37 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:40:37 -0800] "GET /PaymentService/WEB-INF/classes/com/paymentservice/PaymentResouce.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:41:13 -0800] "GET /PaymentService/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:42:13 -0800] "GET /PaymentService/paymentservice/payments HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:43:21 -0800] "GET /PaymentService/paymentservice/payments HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:44:04 -0800] "GET /PaymentService/paymentservice/payments?payment_id=1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:50:25 -0800] "POST /PaymentService/paymentservice/payments HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:51:47 -0800] "POST /PaymentService/paymentservice/payments HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:52:04 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:53:42 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:53:56 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:53:58 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:55:35 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:55:36 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:55:38 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:55:39 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:58:06 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:58:07 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [22/Apr/2021:01:58:09 -0800] "PUT /PaymentService/paymentservice/payments HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:00:03 -0800] "DELETE /PaymentService/paymentservice/payments HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:03:29 -0800] "DELETE /PaymentService/paymentservice/payments HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:03:37 -0800] "DELETE /PaymentService/paymentservice/payments HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:03:51 -0800] "DELETE /PaymentService/paymentservice/payments HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:04:16 -0800] "GET /PaymentService/paymentservice/payments?payment_id=1 HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:04:29 -0800] "GET /PaymentService/paymentservice/payments?payment_id=2 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:04:36 -0800] "GET /PaymentService/paymentservice/payments HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:05:10 -0800] "POST /PaymentService/paymentservice/payments HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [22/Apr/2021:02:05:15 -0800] "GET /PaymentService/paymentservice/payments HTTP/1.1" 200 401
